period_days,age_cohort,vax_dose,metric,vax_increase,novax_increase,diff,p_value,vax_before,vax_after,novax_before,novax_after,vax_vs_novax_ratio
30,between_12_and_30,1,predpisy,93.16239316239316,85.17110266159695,7.991290500796211,0.513217944182194,234.0,218.0,263.0,224.0,1.0938263125763126
30,between_12_and_30,1,prvopredpisy,85.36585365853658,77.02702702702703,8.338826631509548,0.719623567891465,82.0,70.0,74.0,57.0,1.1082584510055626
30,between_12_and_30,1,kortikoidy,121.80111752712104,94.03142476697737,27.76969276014367,2.8800289472004733e-183,40155.625,48910.0,58671.875,55170.0,1.2953235349667491
30,between_12_and_30,1,imunosupresivy,94.82758620689656,82.55813953488372,12.269446672012833,0.6215595594695345,58.0,55.0,86.0,71.0,1.148615832928606
30,between_12_and_30,2,predpisy,125.86206896551724,132.0855614973262,-6.223492531808972,0.7788887377459697,174.0,219.0,187.0,247.0,0.9528828703057378
30,between_12_and_30,2,prvopredpisy,119.64285714285714,158.13953488372093,-38.49667774086379,0.3537509816153037,56.0,67.0,43.0,68.0,0.7565651260504201
30,between_12_and_30,2,kortikoidy,157.8246983676366,102.77543609363855,55.04926227399807,0.0,31702.5,50034.375,38552.5,39622.5,1.5356266474397906
30,between_12_and_30,2,imunosupresivy,129.31034482758622,139.70588235294116,-10.39553752535494,0.8132965062120406,58.0,75.0,68.0,95.0,0.9255898366606171
30,between_12_and_30,3,predpisy,138.37209302325581,117.77777777777779,20.59431524547803,0.3580866453365962,86.0,119.0,225.0,265.0,1.1748573935936815
30,between_12_and_30,3,prvopredpisy,127.77777777777777,139.53488372093022,-11.757105943152453,0.8530777355167649,18.0,23.0,43.0,60.0,0.9157407407407406
30,between_12_and_30,3,kortikoidy,132.96947645037395,127.45554568885231,5.513930761521635,0.0012554913475382847,12367.5,16445.0,57713.75,73559.375,1.0432615994205727
30,between_12_and_30,3,imunosupresivy,104.54545454545455,101.20481927710843,3.3406352683461193,1.0,44.0,46.0,83.0,84.0,1.033008658008658
60,between_12_and_30,1,predpisy,99.35205183585313,86.73267326732673,12.6193785685264,0.15093903954241714,463.0,460.0,505.0,438.0,1.145497401303786
60,between_12_and_30,1,prvopredpisy,91.51515151515152,75.36231884057972,16.152832674571798,0.2661916647891397,165.0,151.0,138.0,104.0,1.2143356643356644
60,between_12_and_30,1,kortikoidy,132.67222472942052,74.72424282933541,57.94798190008511,0.0,78939.375,104730.625,115012.875,85942.5,1.7754910549235539
60,between_12_and_30,1,imunosupresivy,101.66666666666666,96.3855421686747,5.281124497991954,0.7991543809891826,120.0,122.0,166.0,160.0,1.0547916666666666
60,between_12_and_30,2,predpisy,119.12144702842377,108.52534562211981,10.596101406303958,0.3384386533608299,387.0,461.0,434.0,471.0,1.0976371127459856
60,between_12_and_30,2,prvopredpisy,114.1732283464567,112.5,1.6732283464566962,1.0,127.0,145.0,104.0,117.0,1.0148731408573928
60,between_12_and_30,2,kortikoidy,122.70847055723884,91.31326632567311,31.395204231565728,0.0,80654.375,98969.75,94454.375,86249.375,1.3438186530267489
60,between_12_and_30,2,imunosupresivy,128.81355932203388,125.16556291390728,3.647996408126602,0.8699468272627839,118.0,152.0,151.0,189.0,1.0291453681284188
60,between_12_and_30,3,predpisy,122.22222222222223,123.4090909090909,-1.186868686868678,0.9532933833361548,189.0,231.0,440.0,543.0,0.9903826478412114
60,between_12_and_30,3,prvopredpisy,125.0,176.62337662337663,-51.62337662337663,0.17145341715365464,44.0,55.0,77.0,136.0,0.7077205882352942
60,between_12_and_30,3,kortikoidy,127.18011767805393,123.83995858022206,3.3401590978318723,0.002820771049919825,28467.5,36205.0,108643.75,134544.375,1.0269715779634097
60,between_12_and_30,3,imunosupresivy,101.20481927710843,108.72093023255813,-7.5161109554497045,0.7088492147690131,83.0,84.0,172.0,187.0,0.9308678564525481
90,between_12_and_30,1,predpisy,107.14285714285714,89.5397489539749,17.603108188882246,0.018675328382995213,686.0,735.0,717.0,642.0,1.1965954606141522
90,between_12_and_30,1,prvopredpisy,100.836820083682,90.21739130434783,10.619428779334172,0.43998967285086665,239.0,241.0,184.0,166.0,1.1177093310480415
90,between_12_and_30,1,kortikoidy,128.0246819957932,73.50188344419483,54.52279855159837,0.0,125273.5,160381.0,168209.125,123636.875,1.741787774635652
90,between_12_and_30,1,imunosupresivy,110.73446327683615,102.09205020920503,8.642413067631125,0.5814016492922705,177.0,196.0,239.0,244.0,1.0846531443919607
90,between_12_and_30,2,predpisy,110.71428571428572,97.55395683453237,13.16032887975335,0.10405015243158658,616.0,682.0,695.0,678.0,1.1349030762747578
90,between_12_and_30,2,prvopredpisy,101.47058823529412,92.81767955801105,8.652908677283065,0.5607106047881403,204.0,207.0,181.0,168.0,1.0932247899159664
90,between_12_and_30,2,kortikoidy,112.14033293272306,83.16169281433451,28.97864011838854,0.0,122209.375,137046.0,152778.125,127052.875,1.348461402572526
90,between_12_and_30,2,imunosupresivy,121.50537634408603,114.34599156118144,7.159384782904596,0.6898628756439631,186.0,226.0,237.0,271.0,1.062611593857874
90,between_12_and_30,3,predpisy,114.56953642384107,121.33131618759457,-6.761779763753495,0.5697634708288808,302.0,346.0,661.0,802.0,0.944270119403478
90,between_12_and_30,3,prvopredpisy,130.15873015873015,130.37037037037038,-0.21164021164022984,1.0,63.0,82.0,135.0,176.0,0.9983766233766234
90,between_12_and_30,3,kortikoidy,134.63005444846743,121.9735897780414,12.656464670426033,5.321102491348999e-44,45226.25,60888.125,152573.5,186099.375,1.1037639762300784
90,between_12_and_30,3,imunosupresivy,91.66666666666666,109.3385214007782,-17.671854734111548,0.2537211421763652,132.0,121.0,257.0,281.0,0.8383748517200476
180,between_12_and_30,1,predpisy,112.92775665399239,100.70257611241217,12.225180541580215,0.037791730091262035,1315.0,1485.0,1281.0,1290.0,1.1213988858431339
180,between_12_and_30,1,prvopredpisy,107.01357466063348,103.0716723549488,3.9419023056846783,0.7519596904567551,442.0,473.0,293.0,302.0,1.0382442839591262
180,between_12_and_30,1,kortikoidy,118.18888921228081,88.2005031674484,29.98838604483241,0.0,249095.75,294403.5,295229.75,260394.125,1.340002437263873
180,between_12_and_30,1,imunosupresivy,116.1473087818697,104.19287211740043,11.95443666446927,0.2660650716429866,353.0,410.0,477.0,497.0,1.1147337281479244
180,between_12_and_30,2,predpisy,108.31255195344971,103.81970970206265,4.49284225138706,0.4524845551445509,1203.0,1303.0,1309.0,1359.0,1.043275426836392
180,between_12_and_30,2,prvopredpisy,102.0997375328084,101.31147540983608,0.788262122972327,0.9568812683699056,381.0,389.0,305.0,309.0,1.0077805808254552
